model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
GPR,50,0,0,0.945,1.9185,0.1039,2.001,0.0
GPR,50,0,-1,0.945,1.9185,0.1039,2.001,0.0
GPR,50,1,0,0.898333,1.8728,0.1999,2.1725,0.0
GPR,50,1,-1,0.898333,1.8728,0.1999,2.1725,0.0
GPR,50,2,0,0.855,1.6928,0.1639,2.0475,0.0
GPR,50,2,-1,0.855,1.6928,0.1639,2.0475,0.0
GPR,50,3,0,0.765,1.4846,0.2178,2.2798,0.0
GPR,50,3,-1,0.765,1.4846,0.2178,2.2798,0.0
GPR,50,4,0,0.885,1.7161,0.1535,2.0338,0.0
GPR,50,4,-1,0.885,1.7161,0.1535,2.0338,0.0
GPR,50,5,0,0.948333,1.9014,0.0889,1.9642,0.0
GPR,50,5,-1,0.948333,1.9014,0.0889,1.9642,0.0
GPR,50,6,0,0.736667,1.4521,0.2842,2.4965,0.0
GPR,50,6,-1,0.736667,1.4521,0.2842,2.4965,0.0
GPR,50,7,0,0.925,1.8885,0.1814,2.09,0.0
GPR,50,7,-1,0.925,1.8885,0.1814,2.09,0.0
GPR,50,8,0,0.806667,1.5778,0.208,2.2019,0.0
GPR,50,8,-1,0.806667,1.5778,0.208,2.2019,0.0
GPR,50,9,0,0.926667,1.8493,0.0908,1.9781,0.0
GPR,50,9,-1,0.926667,1.8493,0.0908,1.9781,0.0
GPR,100,0,0,0.901667,1.8128,0.1355,2.0297,0.0
GPR,100,0,-1,0.901667,1.8128,0.1355,2.0297,0.0
GPR,100,1,0,0.796667,1.57,0.2068,2.2584,0.0
GPR,100,1,-1,0.796667,1.57,0.2068,2.2584,0.0
GPR,100,2,0,0.841667,1.6409,0.1395,1.9995,0.0
GPR,100,2,-1,0.841667,1.6409,0.1395,1.9995,0.0
GPR,100,3,0,0.88,1.7509,0.077,1.9484,0.0
GPR,100,3,-1,0.88,1.7509,0.077,1.9484,0.0
GPR,100,4,0,0.881667,1.7184,0.1177,1.9967,0.0
GPR,100,4,-1,0.881667,1.7184,0.1177,1.9966,0.0
GPR,100,5,0,0.848333,1.6374,0.1297,1.9883,0.0
GPR,100,5,-1,0.848333,1.6374,0.1297,1.9883,0.0
GPR,100,6,0,0.81,1.6092,0.1492,2.0641,0.0
GPR,100,6,-1,0.81,1.6092,0.1492,2.0641,0.0
