model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
NGB,50,0,0,0.921667,1.9014,0.1779,2.157,0.69
NGB,50,0,-1,0.921667,1.9014,0.1779,2.157,0.0
NGB,50,1,0,0.835,1.6829,0.2852,2.5222,0.67
NGB,50,1,-1,0.835,1.6829,0.2852,2.5222,0.0
NGB,50,2,0,0.856667,1.7537,0.282,2.3446,0.69
NGB,50,2,-1,0.856667,1.7537,0.282,2.3446,0.0
NGB,50,3,0,0.756667,1.5286,0.267,2.4578,0.69
NGB,50,3,-1,0.756667,1.5286,0.267,2.4578,0.0
NGB,50,4,0,0.888333,1.843,0.2301,2.1725,0.67
NGB,50,4,-1,0.888333,1.843,0.2301,2.1725,0.0
NGB,50,5,0,0.906667,1.9781,0.2666,2.3078,0.68
NGB,50,5,-1,0.906667,1.9781,0.2666,2.3078,0.0
NGB,50,6,0,0.786667,1.5902,0.3159,2.59,0.67
NGB,50,6,-1,0.786667,1.5902,0.3159,2.59,0.0
NGB,50,7,0,0.893333,1.9312,0.2432,2.2479,0.67
NGB,50,7,-1,0.893333,1.9312,0.2432,2.2479,0.0
NGB,50,8,0,0.758333,1.4865,0.3443,2.6453,0.7
NGB,50,8,-1,0.758333,1.4865,0.3443,2.6453,0.0
NGB,50,9,0,0.866667,1.8438,0.2754,2.4241,0.69
NGB,50,9,-1,0.866667,1.8438,0.2754,2.4241,0.0
NGB,100,0,0,0.886667,1.8867,0.2237,2.204,0.69
NGB,100,0,-1,0.886667,1.8867,0.2237,2.204,0.0
NGB,100,1,0,0.845,1.8323,0.242,2.3449,0.68
NGB,100,1,-1,0.845,1.8323,0.242,2.3449,0.0
NGB,100,2,0,0.863333,1.7713,0.2051,2.2555,0.56
NGB,100,2,-1,0.863333,1.7713,0.2051,2.2555,0.0
NGB,100,3,0,0.831667,1.7015,0.1851,2.1939,0.57
NGB,100,3,-1,0.831667,1.7015,0.1851,2.1939,0.0
NGB,100,4,0,0.866667,1.7508,0.2052,2.2589,0.55
NGB,100,4,-1,0.866667,1.7508,0.2052,2.2589,0.0
NGB,100,5,0,0.913333,1.8863,0.1936,2.0731,0.68
NGB,100,5,-1,0.913333,1.8863,0.1936,2.0731,0.0
NGB,100,6,0,0.821667,1.6777,0.2206,2.3124,0.73
NGB,100,6,-1,0.821667,1.6777,0.2206,2.3124,0.0
NGB,100,7,0,0.941667,2.0051,0.1902,2.1332,0.7
NGB,100,7,-1,0.941667,2.0051,0.1902,2.1332,0.0
NGB,100,8,0,0.876667,1.8183,0.1904,2.2712,0.71
NGB,100,8,-1,0.876667,1.8183,0.1904,2.2712,0.0
NGB,100,9,0,0.851667,1.7597,0.207,2.1665,0.7
NGB,100,9,-1,0.851667,1.7597,0.207,2.1665,0.0
NGB,200,0,0,0.901667,1.807,0.1769,2.073,0.67
NGB,200,0,-1,0.901667,1.807,0.1769,2.073,0.0
NGB,200,1,0,0.885,1.8501,0.2197,2.1883,0.72
NGB,200,1,-1,0.885,1.8501,0.2197,2.1883,0.0
NGB,200,2,0,0.946667,1.9788,0.169,2.0968,0.73
NGB,200,2,-1,0.946667,1.9788,0.169,2.0968,0.0
NGB,200,3,0,0.906667,1.8998,0.2039,2.1805,0.71
NGB,200,3,-1,0.906667,1.8998,0.2039,2.1805,0.0
NGB,200,4,0,0.933333,1.9663,0.1746,2.0827,0.7
