model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
QRF,50,0,0,0.863333,1.8106,0.2064,2.222,0.26
QRF,50,0,1,0.863333,1.8242,0.2188,2.264,0.27
QRF,50,0,2,0.863333,1.8107,0.215,2.2503,0.26
QRF,50,0,3,0.846667,1.791,0.22,2.2692,0.26
QRF,50,0,4,0.858333,1.7989,0.217,2.2696,0.26
QRF,50,0,5,0.845,1.7658,0.2129,2.2707,0.25
QRF,50,0,6,0.868333,1.8377,0.2298,2.2711,0.26
QRF,50,0,7,0.848333,1.7895,0.225,2.296,0.26
QRF,50,0,8,0.866667,1.8469,0.2297,2.2834,0.26
QRF,50,0,9,0.866667,1.8398,0.2294,2.2856,0.25
QRF,50,0,-1,0.866667,1.8115,0.2036,2.2135,0.0
QRF,50,1,0,0.798333,1.668,0.2922,2.568,0.26
QRF,50,1,1,0.803333,1.6806,0.2914,2.6115,0.25
QRF,50,1,2,0.821667,1.7218,0.266,2.3846,0.26
QRF,50,1,3,0.823333,1.7323,0.2528,2.3338,0.25
QRF,50,1,4,0.831667,1.7464,0.2496,2.3332,0.27
QRF,50,1,5,0.831667,1.7384,0.252,2.3265,0.26
QRF,50,1,6,0.84,1.7566,0.2452,2.311,0.25
QRF,50,1,7,0.8,1.6761,0.2904,2.5402,0.26
QRF,50,1,8,0.836667,1.7373,0.2495,2.3226,0.26
QRF,50,1,9,0.813333,1.6918,0.2759,2.4946,0.27
QRF,50,1,-1,0.821667,1.715,0.2582,2.3824,0.0
QRF,50,2,0,0.833333,1.7386,0.2498,2.2446,0.25
QRF,50,2,1,0.861667,1.7709,0.2112,2.1623,0.26
QRF,50,2,2,0.83,1.7322,0.2509,2.3053,0.25
QRF,50,2,3,0.861667,1.7848,0.2236,2.1865,0.27
QRF,50,2,4,0.856667,1.7829,0.222,2.1965,0.25
QRF,50,2,5,0.833333,1.7262,0.2355,2.302,0.26
QRF,50,2,6,0.853333,1.7821,0.2322,2.2797,0.25
QRF,50,2,7,0.835,1.7387,0.2418,2.3121,0.26
QRF,50,2,8,0.815,1.69,0.2422,2.3362,0.27
QRF,50,2,9,0.873333,1.8075,0.2179,2.1746,0.27
QRF,50,2,-1,0.846667,1.7554,0.2186,2.1988,0.0
QRF,50,3,0,0.768333,1.5475,0.261,2.4952,0.26
QRF,50,3,1,0.781667,1.5553,0.2463,2.4233,0.25
QRF,50,3,2,0.801667,1.5865,0.222,2.3106,0.25
QRF,50,3,3,0.806667,1.6097,0.2219,2.3158,0.25
QRF,50,3,4,0.768333,1.5557,0.2603,2.4641,0.25
QRF,50,3,5,0.808333,1.6018,0.2218,2.3386,0.25
QRF,50,3,6,0.786667,1.5614,0.2271,2.3177,0.25
QRF,50,3,7,0.751667,1.4971,0.2785,2.5678,0.25
QRF,50,3,8,0.778333,1.5437,0.2476,2.464,0.25
QRF,50,3,9,0.751667,1.5082,0.28,2.5793,0.26
QRF,50,3,-1,0.783333,1.5567,0.2364,2.3778,0.0
