model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
SVM,50,0,0,0.87,1.7185,0.1489,2.1507,0.11
SVM,50,0,-1,0.87,1.7185,0.1489,2.1507,0.0
SVM,50,1,0,0.718333,1.4167,0.2602,2.5824,0.1
SVM,50,1,-1,0.718333,1.4167,0.2602,2.5824,0.0
SVM,50,2,0,0.806667,1.5565,0.1836,2.1814,0.1
SVM,50,2,-1,0.806667,1.5565,0.1836,2.1814,0.0
SVM,50,3,0,0.675,1.3233,0.3101,2.6932,0.09
SVM,50,3,-1,0.675,1.3233,0.3101,2.6932,0.0
SVM,50,4,0,0.868333,1.7233,0.1785,2.1021,0.09
SVM,50,4,-1,0.868333,1.7233,0.1785,2.1021,0.0
SVM,50,5,0,0.806667,1.5741,0.1495,2.0579,0.11
SVM,50,5,-1,0.806667,1.5741,0.1495,2.0579,0.0
SVM,50,6,0,0.783333,1.5102,0.2846,2.5286,0.09
SVM,50,6,-1,0.783333,1.5102,0.2846,2.5286,0.0
SVM,50,7,0,0.856667,1.6857,0.1234,2.029,0.09
SVM,50,7,-1,0.856667,1.6857,0.1234,2.029,0.0
SVM,50,8,0,0.778333,1.5186,0.2187,2.2279,0.09
SVM,50,8,-1,0.778333,1.5186,0.2187,2.2279,0.0
SVM,50,9,0,0.836667,1.6262,0.1379,2.0291,0.11
SVM,50,9,-1,0.836667,1.6262,0.1379,2.0291,0.0
SVM,100,0,0,0.886667,1.7479,0.0994,1.9656,0.79
SVM,100,0,-1,0.886667,1.7479,0.0994,1.9656,0.0
SVM,100,1,0,0.913333,1.8231,0.0775,1.9541,0.58
SVM,100,1,-1,0.913333,1.8231,0.0775,1.9541,0.0
SVM,100,2,0,0.881667,1.722,0.1042,1.979,0.61
SVM,100,2,-1,0.881667,1.722,0.1042,1.979,0.0
SVM,100,3,0,0.873333,1.6881,0.1226,2.0178,0.51
SVM,100,3,-1,0.873333,1.6881,0.1226,2.0178,0.0
SVM,100,4,0,0.87,1.7169,0.1096,2.0722,0.47
SVM,100,4,-1,0.87,1.7169,0.1096,2.0722,0.0
SVM,100,5,0,0.873333,1.7132,0.1046,2.0069,0.73
SVM,100,5,-1,0.873333,1.7132,0.1046,2.0069,0.0
SVM,100,6,0,0.791667,1.5575,0.1771,2.158,0.53
SVM,100,6,-1,0.791667,1.5575,0.1771,2.158,0.0
SVM,100,7,0,0.881667,1.7178,0.0924,2.0119,0.73
SVM,100,7,-1,0.881667,1.7178,0.0924,2.0119,0.0
SVM,100,8,0,0.911667,1.7724,0.0821,1.9344,0.88
SVM,100,8,-1,0.911667,1.7724,0.0821,1.9344,0.0
SVM,100,9,0,0.87,1.6963,0.0943,2.0377,0.79
SVM,100,9,-1,0.87,1.6963,0.0943,2.0377,0.0
SVM,200,0,0,0.885,1.7346,0.1054,2.0065,5.05
SVM,200,0,-1,0.885,1.7346,0.1054,2.0065,0.0
SVM,200,1,0,0.903333,1.7841,0.0624,1.9145,7.97
SVM,200,1,-1,0.903333,1.7841,0.0624,1.9145,0.0
SVM,200,2,0,0.923333,1.7936,0.055,1.9217,7.39
SVM,200,2,-1,0.923333,1.7936,0.055,1.9217,0.0
SVM,200,3,0,0.905,1.8052,0.0747,1.9419,7.19
SVM,200,3,-1,0.905,1.8052,0.0747,1.9419,0.0
SVM,200,4,0,0.866667,1.7174,0.0657,1.9191,5.64
SVM,200,4,-1,0.866667,1.7174,0.0657,1.9191,0.0
SVM,200,5,0,0.888333,1.7355,0.0545,1.9145,6.08
SVM,200,5,-1,0.888333,1.7355,0.0545,1.9145,0.0
SVM,200,6,0,0.86,1.7002,0.0862,1.9494,4.54
SVM,200,6,-1,0.86,1.7002,0.0862,1.9494,0.0
SVM,200,7,0,0.891667,1.7567,0.0725,1.9744,9.4
SVM,200,7,-1,0.891667,1.7567,0.0725,1.9744,0.0
SVM,200,8,0,0.908333,1.7898,0.0718,1.9498,7.52
SVM,200,8,-1,0.908333,1.7898,0.0718,1.9498,0.0
SVM,200,9,0,0.896667,1.7382,0.0776,1.9213,13.81
SVM,200,9,-1,0.896667,1.7382,0.0776,1.9213,0.0
SVM,300,0,0,0.905,1.7888,0.0589,1.9236,44.19
SVM,300,0,-1,0.905,1.7888,0.0589,1.9236,0.0
SVM,300,1,0,0.901667,1.778,0.0535,1.9104,47.33
SVM,300,1,-1,0.901667,1.778,0.0535,1.9104,0.0
SVM,300,2,0,0.903333,1.7919,0.0516,1.9288,34.38
SVM,300,2,-1,0.903333,1.7919,0.0516,1.9288,0.0
SVM,300,3,0,0.866667,1.6966,0.0744,1.9374,26.48
SVM,300,3,-1,0.866667,1.6966,0.0744,1.9374,0.0
