model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
XGB,50,0,0,0.736667,1.4791,0.2807,2.6768,0.11
XGB,50,0,1,0.741667,1.5024,0.2805,2.6241,0.11
XGB,50,0,2,0.738333,1.507,0.2869,2.6623,0.11
XGB,50,0,3,0.735,1.4942,0.2876,2.6746,0.11
XGB,50,0,4,0.735,1.4799,0.2878,2.7032,0.11
XGB,50,0,5,0.74,1.5128,0.2863,2.6679,0.11
XGB,50,0,6,0.735,1.4927,0.2836,2.672,0.11
XGB,50,0,7,0.745,1.4963,0.2689,2.5752,0.11
XGB,50,0,8,0.74,1.4822,0.2754,2.6302,0.11
XGB,50,0,9,0.728333,1.4808,0.2903,2.7108,0.1
XGB,50,0,-1,0.735,1.4927,0.282,2.6542,0.0
XGB,50,1,0,0.711667,1.4637,0.3757,3.1023,0.11
XGB,50,1,1,0.683333,1.4104,0.3963,3.2702,0.1
XGB,50,1,2,0.676667,1.4164,0.4087,3.3255,0.1
XGB,50,1,3,0.698333,1.4184,0.3689,3.1105,0.11
XGB,50,1,4,0.695,1.4346,0.3763,3.1839,0.08
XGB,50,1,5,0.746667,1.5483,0.3368,2.8083,0.09
XGB,50,1,6,0.688333,1.4122,0.3912,3.2318,0.1
XGB,50,1,7,0.691667,1.436,0.3859,3.1792,0.09
XGB,50,1,8,0.693333,1.4351,0.3773,3.163,0.08
XGB,50,1,9,0.701667,1.454,0.3708,3.1106,0.1
XGB,50,1,-1,0.708333,1.4429,0.3737,3.1153,0.0
XGB,50,2,0,0.736667,1.512,0.3317,2.7648,0.11
XGB,50,2,1,0.731667,1.539,0.3447,2.8138,0.11
XGB,50,2,2,0.746667,1.5509,0.3387,2.7841,0.1
XGB,50,2,3,0.74,1.5413,0.3282,2.7416,0.1
XGB,50,2,4,0.741667,1.5537,0.3438,2.7749,0.11
XGB,50,2,5,0.728333,1.5172,0.3378,2.8019,0.1
XGB,50,2,6,0.741667,1.5944,0.3528,2.8125,0.11
XGB,50,2,7,0.745,1.5848,0.3571,2.861,0.1
XGB,50,2,8,0.756667,1.5853,0.3273,2.7206,0.11
XGB,50,2,9,0.72,1.5133,0.3597,2.9044,0.11
