model,n_train,n_test,sum_rmse,picp,mpiw,interval_score,sigma_opt,sigma_in,sigma2_model,sigma_model,elapsed_min
ANN,50,600,0.2034,0.8235,1.6274,2.2457,0.1578,0.272,0.098889,0.3145,0.63
ANN,100,600,0.1742,0.9178,1.9174,2.1133,0.3527,0.2131,0.169836,0.4121,0.69
ANN,200,600,0.0981,0.9223,1.847,1.9721,0.2462,0.1375,0.079503,0.282,1.84
ANN,300,600,0.0849,0.9242,1.8453,1.9552,0.206,0.1246,0.057967,0.2408,3.55
ANN,400,600,0.0797,0.926,1.8411,1.9489,0.1817,0.1067,0.044401,0.2107,3.5
ANN,800,600,0.0541,0.9175,1.8118,1.919,0.1485,0.0789,0.028276,0.1682,5.84
QRF,50,600,0.2206,0.8587,1.7645,2.2427,0.1237,0.3171,0.115878,0.3404,0.55
QRF,100,600,0.1592,0.8537,1.7063,2.1558,0.088,0.2262,0.058916,0.2427,0.78
QRF,200,600,0.1593,0.843,1.6715,2.1139,0.0736,0.2136,0.051064,0.226,0.64
QRF,300,600,0.1518,0.8442,1.6633,2.1045,0.0669,0.2005,0.044693,0.2114,0.61
QRF,400,600,0.1486,0.8543,1.68,2.0952,0.0597,0.1909,0.040017,0.2,0.52
QRF,800,600,0.1499,0.8478,1.6625,2.0828,0.0613,0.1913,0.04037,0.2009,0.65
SVM,50,600,0.1995,0.8,1.5653,2.2582,0.0,0.2529,0.063944,0.2529,0.02
SVM,100,600,0.1064,0.8753,1.7155,2.0138,0.0,0.1405,0.019749,0.1405,0.11
SVM,200,600,0.0726,0.8928,1.7555,1.9413,0.0,0.1028,0.010577,0.1028,1.24
SVM,300,600,0.0593,0.8987,1.7688,1.9277,0.0,0.0798,0.006367,0.0798,6.1
SVM,400,600,0.0549,0.9033,1.7792,1.9234,0.0,0.0754,0.005689,0.0754,13.57
SVM,800,600,0.0391,0.9088,1.7858,1.9039,0.0,0.057,0.003255,0.057,187.76
XGB,50,600,0.348,0.7022,1.4064,2.9606,0.0641,0.3185,0.105565,0.3249,0.18
XGB,100,600,0.2245,0.7858,1.5536,2.3224,0.0506,0.1924,0.039577,0.1989,0.18
XGB,200,600,0.1599,0.8195,1.6135,2.1051,0.0315,0.1546,0.024894,0.1578,0.18
XGB,300,600,0.1319,0.8368,1.646,2.0293,0.0292,0.1387,0.020103,0.1418,0.19
XGB,400,600,0.116,0.8545,1.6785,1.9916,0.023,0.1243,0.015985,0.1264,0.2
XGB,800,600,0.0791,0.8728,1.7182,1.9351,0.0183,0.0919,0.008787,0.0937,0.22
GPR,50,600,0.1692,0.8692,1.7354,2.1265,0.0,0.2578,0.066454,0.2578,0.0
GPR,100,600,0.1297,0.8582,1.6962,2.0334,0.0,0.1778,0.031626,0.1778,0.0
GPR,200,600,0.0961,0.873,1.7145,1.9661,0.0,0.1366,0.018671,0.1366,0.0
GPR,300,600,0.0972,0.8663,1.7018,1.9624,0.0,0.1297,0.016829,0.1297,0.0
GPR,400,600,0.0829,0.8685,1.7023,1.953,0.0,0.1078,0.01161,0.1078,0.0
GPR,800,600,0.0737,0.8668,1.7032,1.9325,0.0,0.0866,0.007494,0.0866,0.0
NGB,50,600,0.2688,0.847,1.7539,2.3869,0.0,0.3623,0.131281,0.3623,0.12
NGB,100,600,0.2063,0.8698,1.809,2.2214,0.0,0.2822,0.079655,0.2822,0.11
NGB,200,600,0.1818,0.9155,1.9048,2.12,0.0,0.2287,0.052315,0.2287,0.12
NGB,300,600,0.1765,0.9327,1.9419,2.0898,0.0,0.1979,0.039147,0.1979,0.12
NGB,400,600,0.1714,0.9457,1.9808,2.0841,0.0,0.1657,0.027444,0.1657,0.12
NGB,800,600,0.1669,0.9572,2.0086,2.0718,0.0,0.1277,0.016314,0.1277,0.13
