model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
ANN,50,0,0,0.941667,1.9017,0.099,1.9866,1.5
ANN,50,0,1,0.868333,1.7359,0.1135,2.0393,0.23
ANN,50,0,2,0.861667,1.7703,0.1589,2.1977,0.21
ANN,50,0,3,0.888333,1.7498,0.102,1.9825,0.19
ANN,50,0,4,0.85,1.7037,0.1248,2.0747,0.19
ANN,50,0,5,0.878333,1.8048,0.2007,2.324,0.19
ANN,50,0,6,0.98,2.0583,0.1464,2.0931,0.18
ANN,50,0,7,0.855,1.7114,0.1564,2.1758,0.19
ANN,50,0,8,0.841667,1.6825,0.1373,2.1031,0.22
ANN,50,0,9,0.913333,1.8291,0.1051,2.021,0.2
ANN,50,0,-1,0.886667,1.7947,0.1015,2.0196,0.0
ANN,50,1,0,0.75,1.4847,0.2725,2.6118,0.2
ANN,50,1,1,0.721667,1.4642,0.3343,2.8247,0.2
ANN,50,1,2,0.828333,1.7173,0.2796,2.5047,0.18
ANN,50,1,3,0.773333,1.5679,0.2535,2.402,0.2
ANN,50,1,4,0.76,1.5487,0.2556,2.4842,0.21
ANN,50,1,5,0.678333,1.3311,0.3417,2.9935,0.22
ANN,50,1,6,0.626667,1.2025,0.3596,3.1315,0.19
ANN,50,1,7,0.686667,1.3462,0.3283,2.8552,0.19
ANN,50,1,8,0.83,1.777,0.2782,2.3115,0.21
ANN,50,1,9,0.705,1.3887,0.3245,2.8365,0.21
ANN,50,1,-1,0.745,1.4828,0.2722,2.5686,0.0
ANN,50,2,0,0.813333,1.5962,0.2225,2.251,0.19
ANN,50,2,1,0.78,1.5298,0.2887,2.503,0.2
ANN,50,2,2,0.775,1.5326,0.3028,2.5682,0.33
ANN,50,2,3,0.808333,1.5833,0.2657,2.3435,0.43
ANN,50,2,4,0.781667,1.5352,0.2398,2.2965,0.42
ANN,50,2,5,0.753333,1.6126,0.3649,2.7408,0.41
ANN,50,2,6,0.783333,1.5359,0.2047,2.2195,0.41
ANN,50,2,7,0.805,1.5932,0.3025,2.5153,0.4
ANN,50,2,8,0.776667,1.5001,0.251,2.3425,0.4
