===========================================================================
  Amprion - Cross-Model Comparison Summary (LSTM / GRU / TCN)
===========================================================================

Coverage Target : 0.9 (τ=0.05/0.95)
Window Size     : 24
Runs per Size   : 10
Data Sizes      : [4000, 6000, 8000, 10000, 12000, 16000]

Best Hyperparameters per Model
---------------------------------------------
  LSTM : hidden=64            lr=1e-02  bs= 64  TunePICP=0.9436  TuneMPIW=13.7639
  GRU  : hidden=(128, 128)    lr=1e-02  bs= 64  TunePICP=0.9487  TuneMPIW=15.2282
  TCN  : hidden=64            lr=1e-02  bs= 32  TunePICP=0.9128  TuneMPIW=12.9543

Test Set Results (mean ± std, 10 runs)
------------------------------------------------------------------------------------------------------------------------
Model     Size           PICP           MPIW       Ratio     Time(s)   sigma2_var_norm   sigma2_range_norm
------------------------------------------------------------------------------------------------------------------------
LSTM      4000  0.9305±0.0104  24.8628±1.2365     26.7210   6.48±0.14          0.000999            0.000044
LSTM      6000  0.9047±0.0220  33.1653±2.4022     36.6581  13.81±3.84          0.002110            0.000108
LSTM      8000  0.8886±0.0144  24.9965±1.0342     28.1298  23.05±4.19          0.000241            0.000017
LSTM     10000  0.9305±0.0191  27.4768±1.2705     29.5302  31.42±0.13          0.000681            0.000049
LSTM     12000  0.9487±0.0101  16.0646±1.1136     16.9330  38.69±0.56          0.000446            0.000024
LSTM     16000  0.8999±0.0422  14.7650±1.2879     16.4074  63.45±4.31          0.000437            0.000025

GRU       4000  0.9201±0.0258  27.5026±2.2269     29.8908  11.94±0.58          0.019811            0.000881
GRU       6000  0.9176±0.0266  40.5132±6.7523     44.1493  20.27±1.28          0.017794            0.000910
GRU       8000  0.8942±0.0370  29.6778±5.8458     33.1909  33.68±0.44          0.004740            0.000343
GRU      10000  0.9301±0.0213  31.8388±4.3967     34.2334  42.70±2.43          0.005821            0.000415
GRU      12000  0.9319±0.0428  18.6614±2.1381     20.0251  47.14±4.51          0.003550            0.000191
GRU      16000  0.9389±0.0607  20.9208±3.8072     22.2829  66.22±5.69          0.004496            0.000254

TCN       4000  0.9215±0.0145  25.5698±1.1035     27.7469  21.54±0.09          0.008612            0.000383
TCN       6000  0.9228±0.0299  37.3185±4.9475     40.4418  38.53±3.33          0.005328            0.000272
TCN       8000  0.9065±0.0271  26.7723±1.8671     29.5349  40.21±10.25          0.000530            0.000038
TCN      10000  0.9402±0.0139  30.8216±2.2090     32.7818  37.81±0.31          0.001213            0.000086
TCN      12000  0.9415±0.0177  16.7233±1.6005     17.7617  46.06±0.08          0.000789            0.000043
TCN      16000  0.9302±0.0210  16.3667±0.8057     17.5957  62.84±0.12          0.000628            0.000035


Timestamp: 2026-06-30 13:38:03.053333
