model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.46146,0.38676,0.53617,2.04,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.57061,0.41602,0.7252,0.67,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.57061,0.41602,0.7252,0.67,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.57061,0.41602,0.7252,0.68,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.49473,0.44059,0.54887,2.24,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.46065,0.3869,0.53439,1.3,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.46065,0.3869,0.53439,1.32,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.46065,0.3869,0.53439,1.27,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.48806,0.445,0.53112,3.32,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.47506,0.42426,0.52586,1.91,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.47506,0.42426,0.52586,1.96,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.47506,0.42426,0.52586,1.94,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.50402,0.44319,0.56484,1.1,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.49953,0.43132,0.56773,0.67,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.49953,0.43132,0.56773,0.66,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.49953,0.43132,0.56773,0.66,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.33085,0.41279,0.24891,2.21,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.49967,0.44127,0.55807,1.3,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.49967,0.44127,0.55807,1.31,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.49967,0.44127,0.55807,1.3,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.2668,0.36646,0.16714,3.36,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.39176,0.42492,0.35859,1.92,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.39176,0.42492,0.35859,1.93,ok
NN,"{""hidden_sizes"": [16], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.39176,0.42492,0.35859,1.94,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.50182,0.41064,0.59301,1.12,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.47136,0.38137,0.56135,0.68,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.47136,0.38137,0.56135,0.65,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.47136,0.38137,0.56135,0.64,ok
