sum_rmse_val,sum_rmse_test,interval_score_val,interval_score_test,sigma_opt_val,sigma_opt_test,picp_test,mpiw_test,elapsed_min,family,axis_key,axis_value,axis_label,folder,config_label
0.2043,0.1925,2.4396,2.2007,0.0965,0.0998,0.825,1.6258,0.04,QRF,n_estimators,50,Number of trees,qrf,QRF_n_estimators=50
0.2087,0.1898,2.4427,2.1947,0.07,0.0828,0.835,1.6347,0.06,QRF,n_estimators,100,Number of trees,qrf,QRF_n_estimators=100
0.2105,0.1925,2.437,2.2089,0.0475,0.072,0.8333,1.6359,0.07,QRF,n_estimators,150,Number of trees,qrf,QRF_n_estimators=150
0.2121,0.1948,2.4439,2.2259,0.0346,0.0662,0.83,1.6328,0.09,QRF,n_estimators,200,Number of trees,qrf,QRF_n_estimators=200
0.2129,0.1948,2.4365,2.2135,0.0254,0.0666,0.8283,1.6365,0.13,QRF,n_estimators,300,Number of trees,qrf,QRF_n_estimators=300
0.2125,0.1948,2.4368,2.2085,0.0361,0.061,0.8317,1.6376,0.19,QRF,n_estimators,500,Number of trees,qrf,QRF_n_estimators=500
0.2043,0.1925,2.4396,2.2007,0.0965,0.0998,0.825,1.6258,0.04,QRF,min_samples_leaf,2,Min samples per leaf,qrf,QRF_min_samples_leaf=2
0.2114,0.233,2.5266,2.2003,0.1179,0.1311,0.9217,1.9866,0.04,QRF,min_samples_leaf,5,Min samples per leaf,qrf,QRF_min_samples_leaf=5
0.4239,0.433,2.9049,2.5056,0.0399,0.046,0.9233,2.2614,0.04,QRF,min_samples_leaf,10,Min samples per leaf,qrf,QRF_min_samples_leaf=10
0.6185,0.6167,2.9424,2.8078,0.0,0.0,0.9517,2.6653,0.04,QRF,min_samples_leaf,20,Min samples per leaf,qrf,QRF_min_samples_leaf=20
0.6185,0.6167,2.9424,2.8078,0.0,0.0,0.9517,2.6653,0.04,QRF,min_samples_leaf,50,Min samples per leaf,qrf,QRF_min_samples_leaf=50
0.2043,0.1925,2.4396,2.2007,0.0965,0.0998,0.825,1.6258,0.04,QRF,max_features,sqrt,Max features,qrf,QRF_max_features=sqrt
0.2043,0.1925,2.4396,2.2007,0.0965,0.0998,0.825,1.6258,0.04,QRF,max_features,0.5,Max features,qrf,QRF_max_features=0.5
0.2043,0.1925,2.4396,2.2007,0.0965,0.0998,0.825,1.6258,0.04,QRF,max_features,1.0,Max features,qrf,QRF_max_features=1.0
