sum_rmse_val,sum_rmse_test,interval_score_val,interval_score_test,sigma_opt_val,sigma_opt_test,picp_test,mpiw_test,elapsed_min,family,axis_key,axis_value,axis_label,folder,config_label
0.4287,0.4342,2.8462,2.5316,0.0357,0.0349,0.895,2.1561,0.01,XGB,n_estimators,50,Number of estimators,xgb,XGB_n_estimators=50
0.2892,0.2985,2.7285,2.322,0.1282,0.1279,0.8567,1.8234,0.01,XGB,n_estimators,100,Number of estimators,xgb,XGB_n_estimators=100
0.2339,0.2552,2.6291,2.2555,0.1474,0.136,0.8033,1.6188,0.02,XGB,n_estimators,200,Number of estimators,xgb,XGB_n_estimators=200
0.2387,0.2575,2.7305,2.2993,0.1262,0.1153,0.7683,1.5372,0.03,XGB,n_estimators,300,Number of estimators,xgb,XGB_n_estimators=300
0.2593,0.2732,2.8546,2.4272,0.1097,0.0922,0.725,1.4447,0.04,XGB,n_estimators,500,Number of estimators,xgb,XGB_n_estimators=500
0.4367,0.4508,2.9622,2.5838,0.0245,0.0251,0.8917,2.1439,0.01,XGB,max_depth,1,Max depth,xgb,XGB_max_depth=1
0.2339,0.2552,2.6291,2.2555,0.1474,0.136,0.8033,1.6188,0.02,XGB,max_depth,2,Max depth,xgb,XGB_max_depth=2
0.2902,0.3019,3.125,2.5454,0.0921,0.0923,0.7283,1.478,0.02,XGB,max_depth,3,Max depth,xgb,XGB_max_depth=3
0.3113,0.3183,3.2244,2.6736,0.1066,0.1058,0.72,1.4421,0.02,XGB,max_depth,4,Max depth,xgb,XGB_max_depth=4
0.3147,0.3213,3.2561,2.6996,0.1099,0.107,0.7133,1.4213,0.02,XGB,max_depth,5,Max depth,xgb,XGB_max_depth=5
0.3161,0.3225,3.2656,2.7067,0.1121,0.1089,0.7117,1.4193,0.03,XGB,max_depth,7,Max depth,xgb,XGB_max_depth=7
0.3161,0.3225,3.2656,2.7067,0.1121,0.1089,0.7117,1.4193,0.02,XGB,max_depth,10,Max depth,xgb,XGB_max_depth=10
