model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.36533,0.32814,0.40252,3.06,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.42859,0.3475,0.50967,1.3,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.42586,0.34107,0.51066,0.79,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.42586,0.34107,0.51066,1.01,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.21602,0.25684,0.1752,5.82,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.31651,0.2935,0.33952,2.48,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.41491,0.33888,0.49094,1.55,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.41491,0.33888,0.49094,1.56,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.17746,0.19733,0.15758,6.47,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.21089,0.2427,0.17907,3.68,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.35274,0.30516,0.40031,2.35,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.35274,0.30516,0.40031,2.3,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.18242,0.20944,0.1554,2.14,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.24744,0.2547,0.24018,1.22,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.39464,0.31668,0.4726,0.79,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.39464,0.31668,0.4726,0.78,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.13798,0.14811,0.12786,4.23,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.15156,0.15699,0.14613,2.45,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.2144,0.22646,0.20235,1.54,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.2144,0.22646,0.20235,1.55,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.13534,0.13114,0.13955,6.4,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.14071,0.1384,0.14302,3.74,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.15716,0.16204,0.15228,3.93,ok
NN,"{""hidden_sizes"": [32], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.15716,0.16204,0.15228,5.09,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.24786,0.29142,0.2043,3.47,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.36316,0.3345,0.39183,1.26,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.4542,0.36183,0.54657,0.78,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.4542,0.36183,0.54657,0.81,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.18283,0.21331,0.15234,4.28,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.20946,0.24752,0.17141,2.53,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.33988,0.32166,0.3581,1.6,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.33988,0.32166,0.3581,1.57,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.15288,0.16543,0.14033,11.64,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.16719,0.18097,0.1534,7.9,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.23039,0.2639,0.19689,5.07,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.23039,0.2639,0.19689,5.08,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.15944,0.17999,0.13889,3.3,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.17641,0.19845,0.15436,1.27,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.28804,0.28941,0.28666,0.78,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.28804,0.28941,0.28666,0.83,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.12255,0.13316,0.11194,4.31,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.13544,0.13248,0.1384,2.47,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.16347,0.17695,0.14999,1.57,ok
